epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,226.55,2.05244,3.00252,2.24346,0.40789,0.24024,0.07738,0.02799,2.37916,4.55271,2.65962,0.007129,0.007129,0.007129
60,229.957,2.00954,2.90928,2.21725,0.40279,0.27399,0.11647,0.03431,2.26776,4.13269,2.66181,0.0070795,0.0070795,0.0070795
61,233.403,2.01361,2.85241,2.22492,0.41413,0.21507,0.13793,0.0439,2.17977,3.36297,2.57295,0.00703,0.00703,0.00703
62,236.864,1.95024,2.90858,2.20426,0.4269,0.23002,0.14699,0.04935,2.13837,3.84517,2.52789,0.0069805,0.0069805,0.0069805
63,240.291,2.04157,2.90264,2.26489,0.61777,0.18327,0.172,0.05792,2.18977,3.41328,2.56944,0.006931,0.006931,0.006931
64,243.718,1.97712,2.80805,2.20848,0.30448,0.21324,0.14919,0.04764,2.23489,2.72931,2.61014,0.0068815,0.0068815,0.0068815
65,247.167,2.01674,2.90357,2.27292,0.24775,0.19682,0.14392,0.04727,2.25453,2.77424,2.65788,0.006832,0.006832,0.006832
66,250.609,1.98001,2.75625,2.18369,0.26344,0.21834,0.13216,0.04046,2.14111,2.86716,2.61475,0.0067825,0.0067825,0.0067825
67,253.991,1.93768,2.88133,2.17869,0.30224,0.20469,0.13904,0.04298,2.22193,2.77434,2.70496,0.006733,0.006733,0.006733
68,257.374,1.9525,2.78811,2.18749,0.42256,0.13459,0.13173,0.04107,2.25957,2.83287,2.71636,0.0066835,0.0066835,0.0066835
69,260.765,1.96376,2.80535,2.15365,0.58827,0.0822,0.09894,0.03395,2.32765,3.29002,2.77994,0.006634,0.006634,0.006634
70,264.134,1.98226,2.65832,2.1665,0.37826,0.1573,0.09032,0.02965,2.27416,3.69348,2.70258,0.0065845,0.0065845,0.0065845
71,267.494,2.02265,2.77031,2.20193,0.51369,0.06094,0.08202,0.02938,2.2118,3.40247,2.66429,0.006535,0.006535,0.006535
72,270.914,1.96913,2.86943,2.20904,0.52524,0.18907,0.14693,0.05527,2.12483,2.89805,2.56237,0.0064855,0.0064855,0.0064855
73,274.295,2.03091,2.80471,2.2337,0.68398,0.11077,0.1586,0.05376,2.1173,2.96549,2.54337,0.006436,0.006436,0.006436
74,277.91,1.99251,2.75435,2.19211,0.68855,0.11378,0.15121,0.05194,2.08196,2.97774,2.52594,0.0063865,0.0063865,0.0063865
75,281.295,1.94437,2.73564,2.13031,0.46169,0.19849,0.17737,0.06512,2.03193,2.76265,2.47341,0.006337,0.006337,0.006337
76,284.71,1.93812,2.6744,2.15146,0.46315,0.24635,0.19873,0.06765,2.17484,3.01543,2.66302,0.0062875,0.0062875,0.0062875
77,288.107,2.01185,2.67641,2.18133,0.61504,0.20525,0.21401,0.07879,2.05613,2.7835,2.54982,0.006238,0.006238,0.006238
78,291.516,1.91826,2.6206,2.13904,0.48622,0.21496,0.19179,0.07045,2.08515,2.53547,2.51408,0.0061885,0.0061885,0.0061885
79,294.92,1.96835,2.68632,2.16175,0.59219,0.17044,0.18075,0.06731,2.08967,2.76628,2.54498,0.006139,0.006139,0.006139
80,298.337,1.8963,2.55391,2.12098,0.68945,0.14798,0.18057,0.05968,2.10024,3.08974,2.57628,0.0060895,0.0060895,0.0060895
81,301.741,1.94276,2.82372,2.17646,0.50413,0.22338,0.26275,0.08056,2.08695,2.86809,2.54992,0.00604,0.00604,0.00604
82,305.19,1.98479,2.69561,2.18355,0.47188,0.24626,0.2174,0.0897,2.0191,2.59264,2.48039,0.0059905,0.0059905,0.0059905
83,308.639,1.97726,2.67697,2.19577,0.48047,0.19881,0.18264,0.06751,2.09239,2.46564,2.54185,0.005941,0.005941,0.005941
84,312.021,1.89875,2.61711,2.13919,0.61948,0.16702,0.18771,0.07216,2.0524,2.58247,2.48567,0.0058915,0.0058915,0.0058915
85,315.412,1.98432,2.74718,2.16221,0.60333,0.20368,0.23423,0.09155,2.06889,2.61926,2.46997,0.005842,0.005842,0.005842
86,318.834,1.92376,2.70285,2.10903,0.53092,0.25651,0.23203,0.08089,2.09667,2.52711,2.51489,0.0057925,0.0057925,0.0057925
87,322.214,1.99797,2.76141,2.16494,0.46394,0.26107,0.19546,0.06583,2.07046,2.60682,2.49299,0.005743,0.005743,0.005743
88,325.625,1.98212,2.60536,2.15858,0.51207,0.22269,0.24894,0.08748,1.94419,2.45186,2.35597,0.0056935,0.0056935,0.0056935
89,329.011,1.93253,2.62602,2.127,0.57835,0.25069,0.28796,0.11246,1.94302,2.28656,2.31073,0.005644,0.005644,0.005644
90,332.421,1.91398,2.52462,2.08292,0.50569,0.30091,0.23868,0.0883,2.02931,2.41117,2.37888,0.0055945,0.0055945,0.0055945
91,335.805,1.94966,2.58535,2.08985,0.49919,0.28289,0.22152,0.08319,2.01681,2.46159,2.38908,0.005545,0.005545,0.005545
92,339.402,1.90834,2.50123,2.08273,0.58191,0.25509,0.24938,0.0913,2.02393,2.38893,2.39156,0.0054955,0.0054955,0.0054955
93,342.929,1.89297,2.57684,2.08434,0.58208,0.20107,0.23173,0.08052,2.03181,2.78649,2.39731,0.005446,0.005446,0.005446
94,346.475,1.87935,2.67062,2.1184,0.7166,0.1381,0.22074,0.07636,2.02617,3.53288,2.37341,0.0053965,0.0053965,0.0053965
95,350.11,1.911,2.64558,2.08245,0.51072,0.27628,0.23918,0.08653,1.98218,2.43091,2.38637,0.005347,0.005347,0.005347
96,353.964,1.91551,2.50405,2.10127,0.49937,0.22857,0.19388,0.07289,2.05534,2.43187,2.46336,0.0052975,0.0052975,0.0052975
97,357.543,1.8516,2.65719,2.09789,0.46579,0.20215,0.20572,0.07702,2.0469,2.57049,2.46324,0.005248,0.005248,0.005248
98,361.125,1.85119,2.47509,2.07372,0.55941,0.24231,0.27043,0.10985,1.91937,2.26705,2.3209,0.0051985,0.0051985,0.0051985
99,364.788,1.87165,2.56312,2.09395,0.36301,0.21958,0.19871,0.07156,2.0956,2.53779,2.53754,0.005149,0.005149,0.005149
100,368.512,1.85344,2.42172,2.09009,0.45945,0.19382,0.21327,0.07744,1.94151,2.4452,2.40457,0.0050995,0.0050995,0.0050995
101,372.523,1.8251,2.50159,2.06466,0.45447,0.2395,0.2743,0.09982,1.91755,2.2733,2.34932,0.00505,0.00505,0.00505
102,376.277,1.88123,2.52219,2.08134,0.41168,0.26153,0.25725,0.10174,1.93745,2.24322,2.32996,0.0050005,0.0050005,0.0050005
103,379.974,1.79657,2.56669,2.06999,0.57629,0.1974,0.23582,0.08717,1.97479,2.31628,2.37023,0.004951,0.004951,0.004951
